Counter	Created_time	Time_Stamp	ID	Message	Shares	Status_type	Full_Picture	Reactions_like	Reactions_haha	Reactions_wow	Reactions_sad	Reactions_angry	Reactions_love
0	2018-08-01T20:09:20+0000	1533164960.0	211857482296579_1141409019341416	"- Chegada em Vitória - ES.

- Com Deputado Manato e Magno Malta .
- Um forte abraço a todos os Capixabas."	3829	added_video	https://scontent.xx.fbcdn.net/v/t15.5256-10/35989642_1141409842674667_5762139067890270208_n.jpg?_nc_cat=103&_nc_ohc=4ar0QBUUk_oAX9rPQoO&_nc_ht=scontent.xx&oh=69a81ba435bcb3c54e30cdede0187cd1&oe=5E9B357C	9213	34	80	2	13	658
1	2018-08-01T16:07:16+0000	1533150436.0	211857482296579_1141187076030277	- Pesquisa Data Poder 360.	1852	added_video	https://scontent.xx.fbcdn.net/v/t15.5256-10/37511751_1141187589363559_2188955852210176000_n.jpg?_nc_cat=101&_nc_ohc=MTZCMzL6aPgAX_2nugk&_nc_ht=scontent.xx&oh=a4581fd1b312dbf0754ff3e55188f81f&oe=5EA72808	11081	234	40	3	13	874
2	2018-08-02T18:28:03+0000	1533245283.0	211857482296579_1142509192564732	"- Hoje, 22h15, LIVE:
- Jair Bolsonaro;
- Paulo Guedes;
- Allan dos Santos;
- Bernardo Küster;
- Flávio Morgenstern e
- Flávio Bolsonaro."	12099	added_video	https://scontent.xx.fbcdn.net/v/t15.13418-10/37862074_1085880321574420_7985738306698608640_n.jpg?_nc_cat=102&_nc_ohc=QP4wsI5REUkAX8gVX2-&_nc_ht=scontent.xx&oh=f1c7761a401c104bb4759b9d00e6a162&oe=5EA7E1F9	29376	77	256	4	21	2179
3	2018-08-02T13:35:48+0000	1533227748.0	211857482296579_1142211689261149	- E conhecereis a verdade, e a verdade vos libertará.	114686	added_video	https://scontent.xx.fbcdn.net/v/t15.5256-10/36022525_1142216845927300_8593677991005913088_n.jpg?_nc_cat=107&_nc_ohc=sQPW-uysKvgAX-lzXU_&_nc_ht=scontent.xx&oh=ebbdb35c9becc9ad68349692d67b47e6&oe=5E96E2AC	106609	3062	680	59	139	10989
4	2018-08-02T02:41:09+0000	1533188469.0	211857482296579_1141727159309602	"- A mortalidade infantil no Brasil.
. Por Bernardo P. Küster."	10357	added_video	https://scontent.xx.fbcdn.net/v/t15.5256-10/35911893_1141727775976207_2169577187403890688_n.jpg?_nc_cat=102&_nc_ohc=WiuNSMsepbsAX9SMYMY&_nc_ht=scontent.xx&oh=7a5957d562d736102efbb9c060a51aed&oe=5E8F0456	19200	94	173	7	10	1353
5	2018-08-03T22:21:02+0000	1533345662.0	211857482296579_1144212945727690	"- Comprove, para o sistema Globo, Jair Bolsonaro é o ""outro candidato."""	7242	added_video	https://scontent.xx.fbcdn.net/v/t15.5256-10/35997617_1144213475727637_498145695857901568_n.jpg?_nc_cat=109&_nc_ohc=qP_EggYuNQ8AX_9jfNj&_nc_ht=scontent.xx&oh=ee8a28d1e2c1a9f5e964413ab956db23&oe=5E9C47CD	18228	1973	105	101	1227	227
6	2018-08-03T20:50:16+0000	1533340216.0	211857482296579_1144144055734579	- A Direita estava adormecida...	1224	added_video	https://scontent.xx.fbcdn.net/v/t15.5256-10/36182180_1144144429067875_526052237273726976_n.jpg?_nc_cat=104&_nc_ohc=CpFvj4qJ3kkAX9nWa3S&_nc_ht=scontent.xx&oh=3790db1e890ae6e54539567c2d813703&oe=5EA4105A	11475	404	26	3	6	712
7	2018-08-03T01:50:49+0000	1533271849.0	211857482296579_1143025189179799	#BolsonaroAoVivo	15852	added_video	https://scontent.xx.fbcdn.net/v/t15.5256-10/36111073_1143294702486181_8393089145538347008_n.jpg?_nc_cat=108&_nc_ohc=JUIOO6c6sr8AX8MtaCp&_nc_ht=scontent.xx&oh=58a66fa9d4dbc6e5a25e82b125968283&oe=5E94D577	41603	375	241	42	201	8589
8	2018-08-03T01:28:01+0000	1533270481.0	211857482296579_1142861605862824	"- LIVE 1 (temas do Brasil):
- Jair Bolsonaro;
- Paulo Guedes;
- Allan dos Santos;
- Bernardo Küster;
- Flávio Morgenstern e
- Flávio Bolsonaro."	18774	added_video	https://scontent.xx.fbcdn.net/v/t15.5256-10/36111508_1143004879181830_7267309291621580800_n.jpg?_nc_cat=110&_nc_ohc=5zQF6QsiO1YAX-7Qsbn&_nc_ht=scontent.xx&oh=62c3b6b446f41b284861b3115b739dbd&oe=5E8F4D0C	43752	351	206	39	175	9102
9	2018-08-04T18:05:38+0000	1533416738.0	211857482296579_1145452385603746	"- Roberto Marinho foi um Democrata ou um Ditador. 
- Assista e tire suas conclusões:"	15330	added_video	https://scontent.xx.fbcdn.net/v/t15.5256-10/36168400_1145473142268337_2660660213270446080_n.jpg?_nc_cat=104&_nc_ohc=gclAJ2T5FlIAX8ufiNs&_nc_ht=scontent.xx&oh=cccf871125c81f7d97c0bd622ccc2688&oe=5E976B67	40616	9324	161	25	81	4336
