Counter	Date_Post	Time_Stamp	Total_likes
0	2018-08-01T20:09:20+0000	1533164960.0	9213
1	2018-08-01T16:07:16+0000	1533150436.0	11081
2	2018-08-02T18:28:03+0000	1533245283.0	29376
3	2018-08-02T13:35:48+0000	1533227748.0	106609
4	2018-08-02T02:41:09+0000	1533188469.0	19200
5	2018-08-03T22:21:02+0000	1533345662.0	18228
6	2018-08-03T20:50:16+0000	1533340216.0	11475
7	2018-08-03T01:50:49+0000	1533271849.0	41603
8	2018-08-03T01:28:01+0000	1533270481.0	43752
9	2018-08-04T18:05:38+0000	1533416738.0	40616
10	2018-08-04T04:30:11+0000	1533367811.0	86362
11	2018-08-05T22:07:07+0000	1533517627.0	19134
12	2018-08-06T23:36:59+0000	1533609419.0	56157
13	2018-08-06T23:18:26+0000	1533608306.0	29218
14	2018-08-06T08:37:51+0000	1533555471.0	21118
15	2018-08-07T21:51:10+0000	1533689470.0	34656
16	2018-08-09T19:13:00+0000	1533852780.0	19410
17	2018-08-09T12:37:03+0000	1533829023.0	53889
18	2018-08-09T10:53:02+0000	1533822782.0	12098
19	2018-08-09T00:33:30+0000	1533785610.0	15121
20	2018-08-10T22:15:32+0000	1533950132.0	39047
21	2018-08-10T16:12:32+0000	1533928352.0	26952
22	2018-08-10T04:19:52+0000	1533885592.0	76895
23	2018-08-12T22:13:32+0000	1534122812.0	20121
24	2018-08-12T14:11:52+0000	1534093912.0	57599
25	2018-08-12T12:11:23+0000	1534086683.0	41115
26	2018-08-12T10:13:14+0000	1534079594.0	26676
27	2018-08-13T20:49:44+0000	1534204184.0	12722
28	2018-08-13T09:25:54+0000	1534163154.0	21393
29	2018-08-15T16:46:02+0000	1534362362.0	26643
30	2018-08-15T11:37:44+0000	1534343864.0	45105
31	2018-08-16T20:12:32+0000	1534461152.0	20334
32	2018-08-16T15:12:10+0000	1534443130.0	439190
33	2018-08-16T12:26:16+0000	1534433176.0	9313
34	2018-08-17T17:24:54+0000	1534537494.0	42365
35	2018-08-17T11:40:31+0000	1534516831.0	45042
36	2018-08-19T10:35:52+0000	1534685752.0	13632
37	2018-08-20T23:52:27+0000	1534819947.0	38854
38	2018-08-20T00:54:36+0000	1534737276.0	36098
39	2018-08-21T13:18:52+0000	1534868332.0	19694
40	2018-08-21T02:36:56+0000	1534829816.0	22963
41	2018-08-22T21:12:40+0000	1534983160.0	40783
42	2018-08-22T16:13:00+0000	1534965180.0	65684
43	2018-08-22T15:14:50+0000	1534961690.0	24940
44	2018-08-22T09:54:46+0000	1534942486.0	18758
45	2018-08-22T06:32:14+0000	1534930334.0	30816
46	2018-08-23T21:20:52+0000	1535070052.0	40777
47	2018-08-23T20:00:24+0000	1535065224.0	19205
48	2018-08-23T15:19:55+0000	1535048395.0	24979
49	2018-08-23T08:37:00+0000	1535024220.0	20014
50	2018-08-24T20:38:10+0000	1535153890.0	18841
51	2018-08-24T13:25:23+0000	1535127923.0	19482
52	2018-08-24T12:53:14+0000	1535125994.0	17687
53	2018-08-25T15:40:23+0000	1535222423.0	17922
54	2018-08-25T09:07:23+0000	1535198843.0	14325
55	2018-08-26T03:07:40+0000	1535263660.0	31435
56	2018-08-27T23:42:15+0000	1535424135.0	26431
57	2018-08-27T13:14:27+0000	1535386467.0	11974
58	2018-08-28T20:03:27+0000	1535497407.0	33970
59	2018-08-28T17:20:15+0000	1535487615.0	41884
60	2018-08-28T12:44:05+0000	1535471045.0	13437
61	2018-08-28T12:26:08+0000	1535469968.0	17563
62	2018-08-28T12:14:32+0000	1535469272.0	21121
63	2018-08-28T12:06:15+0000	1535468775.0	14292
64	2018-08-29T23:16:54+0000	1535595414.0	57572
65	2018-08-29T12:57:49+0000	1535558269.0	85579
66	2018-08-29T09:29:41+0000	1535545781.0	59354
67	2018-08-30T14:40:59+0000	1535650859.0	20595
68	2018-08-30T12:01:18+0000	1535641278.0	58228
69	2018-08-30T08:31:19+0000	1535628679.0	13493
70	2018-08-31T18:22:36+0000	1535750556.0	60022
71	2018-08-31T11:13:19+0000	1535724799.0	22776
72	2018-08-31T10:02:53+0000	1535720573.0	25745
73	2018-09-01T22:49:50+0000	1535852990.0	23677
74	2018-09-01T19:07:55+0000	1535839675.0	22005
75	2018-09-01T12:10:41+0000	1535814641.0	26010
76	2018-09-01T02:51:09+0000	1535781069.0	21184
77	2018-09-03T23:31:49+0000	1536028309.0	29701
78	2018-09-03T20:20:24+0000	1536016824.0	30873
79	2018-09-03T08:14:18+0000	1535973258.0	32286
80	2018-09-04T23:22:43+0000	1536114163.0	33044
81	2018-09-04T09:01:07+0000	1536062467.0	34994
82	2018-09-05T22:13:30+0000	1536196410.0	29850
83	2018-09-05T18:58:42+0000	1536184722.0	26767
84	2018-09-05T15:24:40+0000	1536171880.0	37021
85	2018-09-05T13:03:43+0000	1536163423.0	48338
86	2018-09-05T12:51:04+0000	1536162664.0	40148
87	2018-09-06T11:35:49+0000	1536244549.0	49215
88	2018-09-09T13:52:35+0000	1536511955.0	53685
89	2018-09-10T17:30:01+0000	1536611401.0	68227
90	2018-09-11T09:50:08+0000	1536670208.0	44150
91	2018-09-12T22:27:22+0000	1536802042.0	73534
92	2018-09-12T00:00:12+0000	1536721212.0	53886
93	2018-09-14T20:26:13+0000	1536967573.0	44845
94	2018-09-15T03:19:11+0000	1536992351.0	59083
95	2018-09-17T17:38:50+0000	1537216730.0	49180
96	2018-09-17T02:18:58+0000	1537161538.0	56278
97	2018-09-21T10:54:44+0000	1537538084.0	48532
98	2018-09-22T17:15:14+0000	1537647314.0	34042
99	2018-09-23T00:50:26+0000	1537674626.0	41266
100	2018-09-24T18:53:58+0000	1537826038.0	85293
101	2018-09-25T22:15:03+0000	1537924503.0	56571
102	2018-09-26T23:19:49+0000	1538014789.0	43583
103	2018-09-27T19:17:57+0000	1538086677.0	46699
104	2018-09-28T00:27:04+0000	1538105224.0	49020
105	2018-09-28T00:04:01+0000	1538103841.0	62459
106	2018-09-29T15:16:24+0000	1538244984.0	79706
107	2018-09-30T23:53:17+0000	1538362397.0	68174
108	2018-09-30T21:28:39+0000	1538353719.0	55676
109	2018-09-30T19:41:12+0000	1538347272.0	99152
110	2018-09-30T14:34:14+0000	1538328854.0	72951
111	2018-10-01T23:32:59+0000	1538447579.0	243267
112	2018-10-01T02:30:12+0000	1538371812.0	52854
113	2018-10-01T01:20:01+0000	1538367601.0	48449
114	2018-10-01T01:05:17+0000	1538366717.0	47818
115	2018-10-02T23:30:08+0000	1538533808.0	315635
116	2018-10-03T23:28:38+0000	1538620118.0	260078
117	2018-10-03T20:23:55+0000	1538609035.0	64609
118	2018-10-03T17:31:21+0000	1538598681.0	45165
119	2018-10-03T15:11:48+0000	1538590308.0	44362
120	2018-10-04T23:29:43+0000	1538706583.0	489789
121	2018-10-04T16:08:16+0000	1538680096.0	74709
122	2018-10-05T20:14:44+0000	1538781284.0	41032
123	2018-10-05T09:14:18+0000	1538741658.0	49663
124	2018-10-05T01:29:56+0000	1538713796.0	68689
125	2018-10-06T21:20:24+0000	1538871624.0	52287
126	2018-10-06T20:30:02+0000	1538868602.0	58489
127	2018-10-06T10:12:29+0000	1538831549.0	52264
128	2018-10-08T23:02:34+0000	1539050554.0	61648
129	2018-10-08T14:26:43+0000	1539019603.0	72915
130	2018-10-08T00:28:34+0000	1538969314.0	456276
131	2018-10-09T02:09:52+0000	1539061792.0	95638
132	2018-10-10T17:13:08+0000	1539202388.0	48639
133	2018-10-10T15:13:17+0000	1539195197.0	39722
134	2018-10-10T01:16:08+0000	1539144968.0	90771
135	2018-10-11T22:59:34+0000	1539309574.0	208432
136	2018-10-11T21:54:58+0000	1539305698.0	42788
137	2018-10-11T15:09:18+0000	1539281358.0	45244
138	2018-10-11T13:07:31+0000	1539274051.0	27407
139	2018-10-11T02:23:52+0000	1539235432.0	35009
140	2018-10-12T23:00:16+0000	1539396016.0	198109
141	2018-10-12T22:14:16+0000	1539393256.0	48585
142	2018-10-12T17:23:12+0000	1539375792.0	31732
143	2018-10-12T13:02:57+0000	1539360177.0	53850
144	2018-10-13T17:18:07+0000	1539461887.0	34052
145	2018-10-14T21:30:11+0000	1539563411.0	226500
146	2018-10-14T14:19:11+0000	1539537551.0	59093
147	2018-10-14T00:43:54+0000	1539488634.0	59332
148	2018-10-15T23:52:09+0000	1539658329.0	59351
149	2018-10-15T21:20:55+0000	1539649255.0	34666
150	2018-10-15T17:29:03+0000	1539635343.0	51443
151	2018-10-15T09:37:35+0000	1539607055.0	41879
152	2018-10-16T16:11:45+0000	1539717105.0	72403
153	2018-10-16T15:42:21+0000	1539715341.0	132931
154	2018-10-16T13:40:38+0000	1539708038.0	32344
155	2018-10-16T12:17:56+0000	1539703076.0	33432
156	2018-10-16T01:47:59+0000	1539665279.0	43390
157	2018-10-17T23:57:56+0000	1539831476.0	49778
158	2018-10-17T22:41:54+0000	1539826914.0	49238
159	2018-10-17T15:24:33+0000	1539800673.0	42428
160	2018-10-17T12:42:39+0000	1539790959.0	49376
161	2018-10-18T23:00:00+0000	1539914400.0	267760
162	2018-10-19T15:32:26+0000	1539973946.0	38986
163	2018-10-19T11:32:15+0000	1539959535.0	50549
164	2018-10-20T21:35:56+0000	1540082156.0	45596
165	2018-10-20T12:50:24+0000	1540050624.0	45513
166	2018-10-20T10:14:08+0000	1540041248.0	67565
167	2018-10-22T22:46:53+0000	1540259213.0	46361
168	2018-10-22T15:10:25+0000	1540231825.0	67751
169	2018-10-22T01:03:50+0000	1540181030.0	57863
170	2018-10-23T23:43:01+0000	1540348981.0	34204
171	2018-10-23T20:12:07+0000	1540336327.0	55000
172	2018-10-23T18:06:54+0000	1540328814.0	43860
173	2018-10-24T23:00:18+0000	1540432818.0	231255
174	2018-10-24T21:09:35+0000	1540426175.0	63937
175	2018-10-24T16:20:53+0000	1540408853.0	93334
176	2018-10-24T12:10:08+0000	1540393808.0	35355
177	2018-10-24T00:50:23+0000	1540353023.0	34996
178	2018-10-25T20:56:35+0000	1540511795.0	39427
179	2018-10-25T08:30:57+0000	1540467057.0	118040
180	2018-10-26T22:47:57+0000	1540604877.0	58909
181	2018-10-26T13:44:48+0000	1540572288.0	64466
182	2018-10-27T21:55:54+0000	1540688154.0	140844
183	2018-10-27T19:18:59+0000	1540678739.0	27039
184	2018-10-27T14:56:51+0000	1540663011.0	65665
185	2018-10-27T13:18:24+0000	1540657104.0	47805
186	2018-10-28T00:56:35+0000	1540698995.0	144230
187	2018-10-28T00:37:01+0000	1540697821.0	63051
188	2018-10-29T00:09:20+0000	1540782560.0	316342
189	2018-10-31T00:06:06+0000	1540955166.0	66046
190	2018-11-01T15:12:36+0000	1541095956.0	114387
191	2018-12-12T22:04:40+0000	1544659480.0	152313
192	2018-12-18T21:00:19+0000	1545174019.0	132519
