index,score_scale,score_binary,full_text
1,0.5,"[[3, -1]]","Na coluna da semana, comento os resultados do Pisa. Por que o Brasil, que evoluiu tanto até 2009, estagnou de 2012 para cá? Exploro hipóteses. Faltaram recursos para a educação ou as regiões ricas do país podem ter decepcionado?
https://t.co/Hk9wqqHlOD"
2,0.5,"[[3, -1]]",O governo terá a oportunidade de medir os resultados da nova diplomacia da vassalagem.
3,0.5,"[[3, -1]]",RT @Estadao: 'Bacurau' é eleito o melhor filme de festival de cinema na Espanha (via @EstadaoCultura) https://t.co/TEyXBnMA9h
4,0.5,"[[4, -2]]","RT @senadorhumberto: A alegria de bater um papo com um amigo de ideias arejadas e inspiradoras!!! Obrigado pelo convite, querido @Haddad_Fe…"
5,0.5,"[[3, -1]]","A coluna desta semana é sobre “Golpes” na América Latina: os aparentemente inofensivos, os híbridos ou soft e os hard. 
https://t.co/VaxnxHJjDw"
6,0.5,"[[3, -1]]","RT @jeremycorbyn: To see @evoespueblo who, along with a powerful movement, has brought so much social progress forced from office by the mi…"
7,0.5,"[[4, -2]]","Não há paz sem justiça: No que diz respeito a Lula, paciente de tantas arbitrariedades, um gesto de reconhecimento lhe caberia. Lula foi julgado por um juiz parcial. O conjunto de evidências é robusto o suficiente para que suas condenações sejam anuladas
https://t.co/ppaLrMxTHg"
8,0.5,"[[3, -1]]",RT @TheInterceptBr: Novo #VazaJato: Diálogos mostram que procuradores da força tarefa esconderam informações do @STF_OFicial e atuaram junt…
9,0.5,"[[3, -1]]",Opinião - Tati Bernardi: Parem de rir do Bolsonaro https://t.co/rhReLyAIHc
10,0.5,"[[3, -1]]","RT @LulaOficial: #LULALIBRE 

Alberto Fernandez (@alferdez), presidente eleito da Argentina, pede #LulaLivre! https://t.co/waeyKFo5DV"
11,0.5,"[[3, -1]]","Caro Bruno Covas, desejo a você pronto restabelecimento. Força! https://t.co/d8vj9Stt9U"
12,0.5,"[[3, -1]]","Hoje entrevisto Carmen Silva e Preta Ferreira, do Movimento dos Sem-Teto do Centro de São Paulo. Acompanhe na AllTv e nas nossas redes sociais, às 20 horas."
13,0.5,"[[4, -2]]","Uma carta aberta redigida por três ex-presidentes de cortes superiores de justiça europeias pede aos colegas do STF brasileiro que reflitam sobre ""os vícios dos processos iniciados contra Lula. Justiça brasileira não terá credibilidade com Lula preso”. https://t.co/P20nnteV0i"
14,0.5,"[[3, -1]]","Nesta segunda, entrevisto a antropóloga e historiadora Lilia Moritz Schwarcz. Nós vamos falar sobre um tema bastante presente na vida dos brasileiros: o autoritarismo. Acompanhe na AllTV e nas nossas redes sociais, às 20h."
15,0.5,"[[3, -1]]","Hoje, um agradecimento especial às professoras que tornam o sonho da inclusão e da convivência entre diferentes uma realidade aprovada por todos. Orgulho de ter feito parte dessa história!
https://t.co/gSPTnVYDSf"
16,0.5,"[[3, -1]]","Chico Buarque merece o Nobel: 
“A não assinatura do Bolsonaro no diploma é para mim um segundo Prêmio Camões” 
https://t.co/fuCGgvhuzD"
17,0.5,"[[3, -1]]","Homenzinho que não sabe a diferença entre Estado e governo:
'Até 31 de dezembro de 2026, eu assino', diz Bolsonaro sobre o diploma referente ao prêmio Camões, inclusive já pago a Chico Buarque.
https://t.co/C7D8ssvblw"
18,0.5,"[[4, -2]]","Espero que a CPMI das FakeNews esclareça definitivamente os fatos e puna os responsáveis. Será que Moro vai ajudar? Acho que sim, só não sei quem!
WhatsApp admite envio maciço ilegal de mensagens nas eleições de 2018 https://t.co/WGi1chtJv7"
19,0.5,"[[3, -1]]","Bolsonaro, como sempre, aproveitou a oportunidade para mostrar o que ele é."
20,0.5,"[[3, -1]]","Minha coluna da semana sobre como o governo vem cuidando dos dados oficiais e como pretende cuidar dos nossos, com a privatização do Serpro e Dataprev. 
https://t.co/T35PH2j1wk"
21,0.5,"[[3, -1]]",RT @lauraabcarvalho: A coluna de hoje é sobre o papel crucial desempenhado pelos gastos e benefícios sociais — e o salário mínimo — no Bras…
22,0.5,"[[3, -1]]",Vitória política: 82% dos paulistanos querem mais ciclovias -  https://t.co/xuscp1SV9Y
23,0.5,"[[4, -2]]","Não perca a estreia da segunda temporada de Amigos, Sons e Palavras hoje às 22h30 no @canalbrasil com o querido @GilbertoGil. Eu também participei e vocês poderão conferir o meu papo com Gil em breve. #GilNoCanalBrasil"
24,0.5,"[[3, -1]]","O PT dá a mão a progressistas na defesa dos direitos sociais, ambientais e trabalhistas; e dá a mão a democratas na defesa dos direitos civis e políticos. O resto a gente enfrenta há quarenta anos. Parabéns PT!"
25,0.5,"[[3, -1]]","""Risco Bolsonaro"" entra no radar de investidores: comitês de investimento estão cada vez mais resistentes a alocar no Brasil pelo que chamam de retrocesso civilizatório, percepção que se intensificou com os episódios da Amazônia e da esposa do Macron.""- https://t.co/hBlvYqvjbJ"
